Alajärvi Möksy;101533;3314;2787;63.09;24.26;171;Sääasemat;1996
Asikkala Pulkkilanharju;101185;1434;2727;61.27;25.52;79;Sääasemat;1991
Enontekiö Kilpisjärvi kyläkeskus;102016;9003;2801;69.05;20.79;480;Sääasemat;1983
Enontekiö Kilpisjärvi Saana;102017;9004;2701;69.04;20.85;1002;Sääasemat;1991
Enontekiö lentoasema;101976;8208;2802;68.36;23.43;308;Sääasemat;1999
Enontekiö Näkkälä;102019;9201;2726;68.6;23.58;374;Sääasemat;1960
Espoo Nuuksio;852678;344;2986;60.29;24.57;90;Sääasemat;2014
Espoo Tapiola;874863;342;2985;60.18;24.79;6;Sääasemat;2013
Haapavesi Mustikkamäki;101695;4402;2797;64.14;25.42;112;Sääasemat;1951
Hailuoto Keskikylä;101776;5301;2874;65.02;24.73;7;Sääasemat;1950
Hailuoto Marjaniemi;101784;5310;2873;65.04;24.56;7;Sääasemat;1974
Halsua Kanala Purola;101528;3309;2725;63.45;24.44;153;Sääasemat;1958
Hammarland Märket;100919;14;2993;60.3;19.13;3;Sääasemat;1977
Hanko Russarö;100932;101;2982;59.77;22.95;5;Sääasemat;1881
Hanko Tulliniemi;100946;115;2746;59.81;22.91;10;Sääasemat;1990
Hanko Tvärminne;100953;202;2750;59.84;23.25;3;Sääasemat;1962
Hattula Lepaa;101151;1323;2704;61.11;24.32;87;Sääasemat;2006
Heinola Asemantaus;101196;1506;2768;61.2;26.05;92;Sääasemat;1908
Helsinki Harmaja;100996;330;2795;60.11;24.98;6;Sääasemat;1989
Helsinki Helsingin majakka;101003;337;2989;59.95;24.93;0;Sääasemat;2003
Helsinki Helsinki-Malmi lentoasema;101009;401;5105;60.25;25.05;15;Sääasemat;1937
Helsinki Kaisaniemi;100971;304;2978;60.18;24.94;4;Sääasemat;1844
Helsinki Kumpula;101004;339;2998;60.2;24.96;24;Sääasemat;2005
Helsinki Vuosaari satama;151028;411;5720;60.21;25.2;2;Sääasemat;2012
Hyvinkää Hyvinkäänkylä;101130;1302;2829;60.6;24.8;86;Sääasemat;1930
Hämeenlinna Katinen;101150;1322;2754;61;24.49;87;Sääasemat;2001
Hämeenlinna Lammi Evo;101189;1438;2713;61.22;25.13;134;Sääasemat;2005
Hämeenlinna Lammi Pappila;101154;1403;2767;61.05;25.04;125;Sääasemat;1963
Ilomantsi Mekrijärvi;101651;3919;2939;62.77;30.98;155;Sääasemat;1999
Ilomantsi Pötsönvaara;101649;3917;2766;63.14;31.04;235;Sääasemat;1997
Inari Angeli Lintupuoliselkä;102026;9405;2857;68.9;25.74;285;Sääasemat;2008
Inari Ivalo lentoasema;102033;9601;2807;68.61;27.42;140;Sääasemat;1957
Inari Kaamanen;102047;9616;2702;69.14;27.27;156;Sääasemat;2008
Inari Kirakkajärvi;102055;9708;2858;69.58;28.89;106;Sääasemat;2009
Inari Nellim;102052;9705;2835;68.85;28.3;121;Sääasemat;1990
Inari Rajajooseppi;102009;8704;2818;68.48;28.3;253;Sääasemat;1992
Inari Saariselkä Kaunispää;102006;8607;2817;68.43;27.44;437;Sääasemat;1995
Inari Saariselkä matkailukeskus;102005;8606;2722;68.42;27.41;302;Sääasemat;1976
Inari Seitalaassa;129963;9617;2888;69.05;27.76;120;Sääasemat;2011
Inari Väylä;102042;9611;2827;69.07;27.49;123;Sääasemat;1990
Inkoo Bågaskär;100969;302;2984;59.93;24.01;12;Sääasemat;1955
Joensuu Linnunlahti;101632;3825;2928;62.6;29.72;81;Sääasemat;2008
Jokioinen Jokioisten observatorio;101104;1201;2963;60.81;23.5;104;Sääasemat;1957
Jomala Jomalaby;100917;11;2741;60.18;19.99;11;Sääasemat;1971
Jomala Maarianhamina lentoasema;100907;1;2970;60.12;19.9;5;Sääasemat;1950
Joutsa Leivonmäki Savenaho;101367;2501;2771;61.88;26.09;146;Sääasemat;1932
Juuka Niemelä;101609;3802;2791;63.23;29.23;115;Sääasemat;1914
Juupajoki Hyytiälä;101317;2303;2770;61.85;24.29;153;Sääasemat;1956
Juva Partala;101418;2622;2736;61.89;27.89;110;Sääasemat;1992
