time;rrday;tday;snow;tmin;tmax
01.01.2015;;3.8;;2.1;5.6
02.01.2015;;4.5;;3.9;6.3
03.01.2015;;2.0;;1.1;4.2
04.01.2015;;-1.3;;-1.8;1.1
05.01.2015;;-8.4;;-11.2;-0.7
06.01.2015;;-10.1;;-13.3;-8.3
07.01.2015;;-2.4;;-8.7;-1.1
08.01.2015;;1.3;;-2.0;3.5
09.01.2015;;1.3;;0.3;3.9
10.01.2015;;-0.1;;-1.2;1.2
11.01.2015;;-5.9;;-11.5;1.2
12.01.2015;;-9.7;;-12.4;-8.4
13.01.2015;;1.3;;-8.4;2.2
14.01.2015;;1.6;;0.6;2.5
15.01.2015;;1.7;;1.0;2.6
16.01.2015;;2.1;;0.3;3.6
17.01.2015;;2.6;;1.5;3.6
18.01.2015;;2.1;;1.4;2.8
19.01.2015;;-0.2;;-1.3;1.6
20.01.2015;;-1.7;;-2.8;-0.8
21.01.2015;;-3.0;;-5.5;-0.4
22.01.2015;;-6.4;;-8.3;-5.2
23.01.2015;;-3.0;;-6.9;1.3
24.01.2015;;-0.4;;-2.2;1.2
25.01.2015;;-0.4;;-1.0;0.2
26.01.2015;;1.3;;-0.2;2.1
27.01.2015;;0.7;;-0.3;1.5
28.01.2015;;1.2;;-0.6;2.2
29.01.2015;;1.2;;0.5;1.8
30.01.2015;;1.3;;0.6;1.9
31.01.2015;;1.2;;0.6;1.7
01.02.2015;;1.0;;0.5;1.2
02.02.2015;;1.3;;0.8;1.9
03.02.2015;;1.0;;0.3;1.7
04.02.2015;;-0.5;;-2.7;1.7
05.02.2015;;-0.6;;-1.0;0.3
06.02.2015;;1.2;;-1.5;3.6
07.02.2015;;1.6;;0.9;3.2
08.02.2015;;-2.3;;-3.9;1.8
09.02.2015;;-1.5;;-5.9;1.0
10.02.2015;;4.9;;0.8;8.7
11.02.2015;;3.8;;2.4;7.0
12.02.2015;;2.3;;1.4;3.1
13.02.2015;;1.8;;0.6;2.6
14.02.2015;;0.9;;0.6;1.9
15.02.2015;;-4.3;;-7.0;1.2
16.02.2015;;-2.2;;-5.7;-0.9
17.02.2015;;-1.1;;-2.6;-0.2
18.02.2015;;2.2;;-0.2;4.1
19.02.2015;;2.8;;1.8;3.8
20.02.2015;;2.9;;2.4;3.9
21.02.2015;;2.1;;0.9;3.0
